Drone: 12 Station: 1 ready time: 528 waiting time: 1 finish time: 1069
Drone: 22 Station: 2 ready time: 607 waiting time: 75 finish time: 1148
Drone: 23 Station: 1 ready time: 347 waiting time: 350 finish time: 968
Drone: 27 Station: 2 ready time: 96 waiting time: 516 finish time: 717
Drone: 8 Station: 1 ready time: 402 waiting time: 259 finish time: 1103
Drone: 24 Station: 2 ready time: 377 waiting time: 366 finish time: 1078
Drone: 10 Station: 1 ready time: 124 waiting time: 598 finish time: 905
Drone: 13 Station: 2 ready time: 302 waiting time: 551 finish time: 1083
Drone: 2 Station: 1 ready time: 314 waiting time: 537 finish time: 1175
Drone: 16 Station: 2 ready time: 343 waiting time: 631 finish time: 1204
Drone: 15 Station: 1 ready time: 106 waiting time: 848 finish time: 1047
Drone: 7 Station: 2 ready time: 361 waiting time: 539 finish time: 1302
Drone: 6 Station: 1 ready time: 429 waiting time: 560 finish time: 1450
Drone: 37 Station: 2 ready time: 614 waiting time: 493 finish time: 1635
Drone: 5 Station: 1 ready time: 224 waiting time: 879 finish time: 1325
Drone: 18 Station: 2 ready time: 184 waiting time: 910 finish time: 1285
Drone: 3 Station: 1 ready time: 292 waiting time: 889 finish time: 1473
Drone: 11 Station: 2 ready time: 478 waiting time: 688 finish time: 1659
Drone: 30 Station: 1 ready time: 514 waiting time: 726 finish time: 1775
Drone: 38 Station: 2 ready time: 439 waiting time: 919 finish time: 1700
Drone: 1 Station: 1 ready time: 460 waiting time: 837 finish time: 1801
Drone: 28 Station: 2 ready time: 548 waiting time: 821 finish time: 1889
Drone: 25 Station: 1 ready time: 182 waiting time: 1225 finish time: 1603
Drone: 26 Station: 2 ready time: 495 waiting time: 887 finish time: 1916
Drone: 17 Station: 1 ready time: 508 waiting time: 983 finish time: 2009
Drone: 49 Station: 2 ready time: 599 waiting time: 964 finish time: 2100
Drone: 46 Station: 1 ready time: 491 waiting time: 1209 finish time: 2072
Drone: 14 Station: 2 ready time: 124 waiting time: 1393 finish time: 1705
Drone: 41 Station: 1 ready time: 553 waiting time: 1148 finish time: 2214
Drone: 19 Station: 2 ready time: 74 waiting time: 1564 finish time: 1735
Drone: 47 Station: 1 ready time: 653 waiting time: 1202 finish time: 2394
Drone: 36 Station: 2 ready time: 370 waiting time: 1400 finish time: 2111
Drone: 20 Station: 1 ready time: 439 waiting time: 1313 finish time: 2260
Drone: 9 Station: 2 ready time: 318 waiting time: 1465 finish time: 2139
Drone: 21 Station: 1 ready time: 249 waiting time: 1598 finish time: 2150
Drone: 4 Station: 2 ready time: 425 waiting time: 1424 finish time: 2326
Drone: 33 Station: 1 ready time: 154 waiting time: 1869 finish time: 2135
Drone: 42 Station: 2 ready time: 393 waiting time: 1611 finish time: 2374
Drone: 29 Station: 1 ready time: 55 waiting time: 1953 finish time: 2116
Drone: 32 Station: 2 ready time: 185 waiting time: 1860 finish time: 2246
Drone: 50 Station: 1 ready time: 458 waiting time: 1721 finish time: 2599
Drone: 45 Station: 2 ready time: 508 waiting time: 1606 finish time: 2649
Drone: 39 Station: 1 ready time: 483 waiting time: 1734 finish time: 2704
Drone: 40 Station: 2 ready time: 197 waiting time: 2013 finish time: 2418
Drone: 48 Station: 1 ready time: 194 waiting time: 2047 finish time: 2495
Drone: 31 Station: 2 ready time: 253 waiting time: 2026 finish time: 2554
Drone: 44 Station: 1 ready time: 150 waiting time: 2213 finish time: 2531
Drone: 35 Station: 2 ready time: 382 waiting time: 1969 finish time: 2763
Drone: 34 Station: 1 ready time: 418 waiting time: 1991 finish time: 2879
Drone: 43 Station: 2 ready time: 254 waiting time: 2145 finish time: 2715
